MovieId,Rank,Region,Name,ReleaseDate,Publisher,DayCount,TheaterCount,Amount,AmountRate,Tickets,TicketRate,MarketShare,TotalDayCount,TotalAmount,TotalTickets,FirstWeekAmount,TotalWeekendAmount,Year,Name_search,Name_map,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,title_map
21945,1,韓國,緊急迫降,2022-08-12,RELAY MOTION KFT.,71.0,73,45065924,0,184178,0,0.008227085021177,71,45065924,184178,16793934,27418939,2022,緊急迫降,緊急迫降,False,/wuOQJ9z4mFMGGplm1gUJaK2JjdF.jpg,"[28, 18, 53]",626872.0,ko,비상선언,資深刑警仁浩（宋康昊飾）收到了有男子要對飛機進行恐怖攻擊的情報，在進行調查時，得知嫌犯搭乘了KI501班機。在赫（李炳憲 飾）即使有飛行恐懼症，為了讓女兒接受治療仍一起搭機前往夏威夷，但一名四處走動、口出惡言的怪人讓在赫感到十分在意。KI501班機從仁川機場出發前往夏威夷的途中，有名男子因不明原因死亡，讓機艙內的乘客陷入恐懼中。,21.433,/8T0sSD9Bc1eJQpF7mhwkcMPDyzU.jpg,2022-08-12,緊急迫降,False,7.515,367.0,緊急迫降
22241,2,韓國,機密同盟2,2022-09-08,RELAY MOTION KFT.,57.0,67,19925286,0,82725,0,0.00369526006568,57,19925286,82725,8160089,12236324,2022,機密同盟2,機密同盟2,False,/xov3ufX4ZRyw2pSF3XLNjtvZPw4.jpg,"[28, 35]",736820.0,ko,공조 2: 인터내셔날,為了追捕藏匿在南韓的國際犯罪組織，北韓刑警任鐵零（玄彬 飾）投入新的共同搜查任務。而南韓刑警姜鎮泰（柳海真 飾）則在搜查中因發生失誤而被調至網路搜查隊，為了回到廣域搜查隊，鎮泰自願擔任鐵零的夥伴。再次遇見鐵零的敏英（林允兒 飾）又重燃對他的愛意。然而，鐵零與鎮泰對彼此心存懷疑，但仍展開十分像樣的搜查行動。就在他們終於找到犯罪組織首腦張明俊（陳善圭 飾）的藏身之處時，來自美國的FBI探員傑克（丹尼爾．海尼）突然出現在他們面前……！依舊令人辛酸的南韓刑警；一樣傑出的北韓刑警；來自FBI的美國刑警，因各自的目的而團結一心的他們，將展開刺激的共同搜查行動！,8.739,/gYvjRdmrrihGpfBwlfsNnYLIbyT.jpg,2022-09-07,機密同盟2,False,7.036,55.0,機密同盟2
23147,3,韓國,音爆浩劫,2022-11-25,RELAY MOTION KFT.,37.0,70,18565875,0,78936,0,0.003526008444177,49,18565875,78936,7876055,12191228,2022,音爆浩劫,音爆浩劫,False,/vW016VDPIzzEgDzrC19xJ7pAoqg.jpg,"[28, 18, 53]",774548.0,ko,데시벨,水煮沸的聲音、打開窗戶的聲音、孩子們的笑聲……不久後，傳來了一戶民宅爆炸的新聞快報，此時，看到新聞的前海軍副艦長（金來沅 飾）接到了一通電話，炸彈設計者（李鍾碩 飾）表示只要噪音一變大就會爆炸，他的下個目標是足球場……為了阻止不斷在市中心展開的炸彈恐攻事件，一定要找出握有一切祕密的炸彈設計者！,13.707,/mlmqArnpb6OjhrUm5TsQnbl1Zqy.jpg,2022-11-25,音爆浩劫,True,6.667,60.0,音爆浩劫
22479,4,韓國,樂透大作戰,2022-09-30,Atrium Productions Kft.,55.0,81,18394205,0,75250,0,0.003361357750891,55,18394205,75250,5850600,12057983,2022,樂透大作戰,樂透大作戰,False,/eHK0Tagwl5kPhpIKstBeG045aLt.jpg,[35],821153.0,ko,육사오,即將退伍的南韓兵長千禹（高庚杓飾演），某天意外在緊繃的南北韓軍事線附近，撿到一張飄向自己的頭獎彩券，之後卻一個不小心，讓這張彩券乘風飄向無法涉足的北韓…。,5.01,/5zeMXNIa0dxV3cBXg9F9NLBd2K9.jpg,2022-09-30,樂透大作戰,False,6.7,39.0,樂透大作戰
21736,5,韓國,魔女二部曲：另一個她,2022-07-01,RELAY MOTION KFT.,56.0,62,16890288,0,70736,0,0.003159720955043,56,16890288,70736,8135793,10736435,2022,魔女二部曲：另一個她,魔女二部曲：另一個她,False,/iryef4LKiPQkvhNJS1EtLlay3br.jpg,"[28, 9648, 53, 878]",615173.0,ko,마녀 2,一名少女獨自倖存於被毀滅的祕密研究所，對於外面的世界感到陌生的少女，偶然遇見慶熙和大吉這對姊弟，和他們成為朋友。就在少女漸漸適應溫暖的日常生活時，各懷鬼胎的勢力開始追查少女的行蹤……。,85.313,/6COthWNPkc0RrZBK2QtO5zWlfcA.jpg,2022-06-15,魔女二部曲：另一個她,False,7.3,337.0,魔女二部曲：另一個她
21615,6,韓國,嬰兒轉運站,2022-06-24,RELAY MOTION KFT.,63.0,69,14595323,0,59700,0,0.002666751597716,63,14595323,59700,7543891,9056424,2022,嬰兒轉運站,嬰兒轉運站,False,/dom8lzl2iU46nDu6s4lBolBNjQs.jpg,"[18, 35, 80]",736732.0,ko,브로커,經營著洗衣店的相鉉（宋康昊 飾）總是為債務所苦，而育幼院出身的東秀（姜棟元 飾）則在管理嬰兒保護艙的機構工作。在某個下著暴雨的夜晚，他們倆偷偷帶走了保護艙中的嬰兒。沒想到隔天，孩子的母親素英（李知恩 飾）卻回來尋找兒子的下落。素英得知孩子消失後打算報警，相鉉和東秀便向素英說出實話，他們表示這一切都是為了要幫孩子找到適合成長的家庭，才會這麼做，而素英為了替兒子找到新父母，決定和相鉉、東秀同行。另一方面，看著這一切的刑警秀珍（裴斗娜 飾）和她的下屬李刑警（李周映 飾），在這半年來持續進行搜查，為了獲得能結案的關鍵證據，她們小心翼翼地跟在相鉉他們身後……因為嬰兒保護艙而意外遇見彼此的他們，將踏上一段出乎意料的旅程。,24.793,/vAVcC1katFIbHFdFZ271DBgxAbQ.jpg,2022-06-08,嬰兒轉運站,False,7.162,469.0,嬰兒轉運站
21222,7,韓國,犯罪都市2,2022-05-20,RELAY MOTION KFT.,64.0,65,10985137,0,46397,0,0.002072517150406,64,10985137,46397,4947839,7001925,2022,犯罪都市2,犯罪都市2,False,/jwtsNew0oMC11Nns3QrFzKKAONc.jpg,"[28, 80, 53, 12]",619803.0,ko,범죄도시 2,掃蕩加里峰洞任務後過了4年，衿川刑警隊前往越南引渡逃走的嫌犯。「怪物刑警」馬錫道（馬東石 飾）和全日萬組長（崔貴化 飾）發現在當地的嫌犯十分可疑，得知其背後有個凶惡殘暴的主使者姜海相（孫錫求 飾）。馬錫道和衿川刑警隊奔走於韓國和越南兩地，開始緝捕史上最壞的傢伙姜海相……,44.778,/euH65NAl9VmN89O9UlpqXHsD31x.jpg,2022-05-20,犯罪都市2,False,7.2,326.0,犯罪都市2
21858,8,韓國,外星+人,2022-07-27,RELAY MOTION KFT.,47.0,69,9396972,0,38589,0,0.001723739990021,47,9396972,38589,6307508,5218965,2022,外星+人,外星+人,False,/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,"[878, 28, 14, 12]",601796.0,ko,외계+인 1부,在高麗末期的道士們為了傳說中神劍在時間之門打開後，與外星人出沒的2021年，展開的異想天開故事。,67.143,/hSb1ky8t1sb96gJtoqaBuT4Xln6.jpg,2022-07-20,外星+人,False,6.819,454.0,外星+人
22473,9,韓國,行動代號：狼狩獵,2022-09-30,RELAY MOTION KFT.,35.0,65,8631370,0,36581,0,0.00163404422439,35,8631370,36581,4783950,5636009,2022,行動代號：狼狩獵,行動代號：狼狩獵,False,/xkXsV1WOiKfAJ6dzXiavdwsZ3E2.jpg,"[28, 53, 27, 80]",799379.0,ko,늑대사냥,逃至東南亞的國際通緝犯們，將被集中於一艘監獄船。罪大惡極的他們，和資深刑警們聚集於菲律賓馬尼拉港，渴望逃脫的宗斗（徐仁國 飾），和必須返韓的道日（張東潤 飾）等人，他們各有目的，抱持戒心搭上這艘船。在前往韓國的途中，在太平洋上的他們遭遇前所未見的極端狀況，究竟在這海上煉獄裡，誰能活到最後呢？,52.437,/9leS9LRYZOmh0h3jWIP8S8HkNip.jpg,2022-09-21,行動代號：狼狩獵,False,6.4,371.0,行動代號：狼狩獵
22113,10,韓國,獵首密令,2022-08-26,MegaboxJoongang  Inc## PlusM.,80.0,84,8274617,0,35097,0,0.001567755122698,80,8274617,35097,4990138,5375295,2022,獵首密令,獵首密令,False,/8voS6nJU5DdKSfFsKIMTTlDssM9.jpg,"[28, 9648, 18]",727340.0,ko,헌트,本片是李政宰轉型導演的處女作。劇情講述南韓中央情報（KCIA）的海外組組長朴平浩（李政宰 飾）和國內組組長金正道（鄭雨盛 飾）都接到上級指示，要找出一個臥底在情報部深處的北韓間諜。當這個間諜開始洩露可能危及國家安全的最高機密時，兩位組長分別被指派互相調查對方，在這緊迫的狀況下他們若找不出這名臥底，自己可能就會遭到指控。,25.42,/ONUDlPIhPyxadmAp5eukjtyXH5.jpg,2022-08-26,獵首密令,False,6.714,175.0,獵首密令
