adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,1059129,Directing,한재림,한재림,4.426,/2Bqr0HvdZZOvEyiAvDsn7ltVute.jpg,5d672a0ba9b9a40010f4370b,Directing,Director,626872
False,2,980218,Directing,이석훈,이석훈,1.546,/4G6GRFceqHw4hK2c96V2MqqWfZh.jpg,5f4673202da84600333c25ac,Directing,Director,736820
False,2,548068,Writing,황인호,황인호,2.332,,5fd1f2661d1bf40041cb6f35,Directing,Director,774548
False,2,552154,Writing,박규태,박규태,2.14,,60800ce0955c65005ab44acb,Directing,Director,821153
False,2,557736,Directing,박훈정,박훈정,4.455,/sIfrrVBKzaNE4K84NJ46GLggszn.jpg,5d29b32dbe4b3632c4a0ecfa,Directing,Director,615173
False,2,25645,Directing,是枝裕和,是枝裕和,12.051,/9Quu2Jo5ItVgs8V1YPCaLEHc8y1.jpg,5f45f2f271f095003482c669,Directing,Director,736732
False,2,2376041,Directing,이상용,이상용,2.605,/A80hLI19h9z3j7Xg3o8dYCt0rUc.jpg,5d428278d8cc4a0014346732,Directing,Director,619803
False,2,119337,Directing,최동훈,최동훈,4.369,/sn3f2zwi0BCaV0hWeD4aRWqNX5l.jpg,5cda5dbf92514167a7ce0f00,Directing,Director,601796
False,2,1294527,Directing,김홍선,김홍선,1.426,/xvf4c49kDqfXW6Ry1lO9jeF7lGX.jpg,603313517d5f4b003f975ea9,Directing,Director,799379
False,2,73249,Acting,李政宰,이정재,36.91,/3h5Cfm0X8ohWn7psZkqdNWqXAHH.jpg,5f1b73875258ae00365f5c21,Directing,Director,727340
False,1,3457652,Directing,Kim Soo-jung,Kim Soo-jung,0.001,,6395ead5a0f1a2007b388654,Directing,Director,993885
False,2,10099,Directing,박찬욱,박찬욱,12.192,/jsSFCVB7MhuVbSLwTgESiXEiNjt.jpg,5ec34edc18b7510020ca1390,Directing,Director,705996
False,2,1023610,Directing,Park Dae-min,Park Dae-min,1.06,/2IKJxpOmc6A240D0nKiFAZfhEfG.jpg,5cf3d43bc3a36839e41fe6dd,Directing,Director,606403
False,2,84749,Directing,Yoon Jong-seok,Yoon Jong-seok,0.721,,5d8df2b1172d7f002752af1d,Directing,Director,634595
