,Year,MovieId,Name,tmdb_id,tmdb_tw_name
1,2022,22241,機密同盟2,,
2,2022,23147,音爆浩劫,,
4,2022,21736,魔女二部曲：另一個她,,
5,2022,21615,嬰兒轉運站,,
7,2022,21858,外星+人,,
8,2022,22473,行動代號：狼狩獵,,
10,2022,22239,語意錯誤電影版,,
11,2022,21763,分手的決心,,
12,2022,20398,極速快遞,,
13,2022,22925,局中局,,
14,2022,20981,SEVENTEENPOWEROFLOVE:THEMOVIE,,
17,2022,20553,PHANTOM:THEMUSICALFILM,,
20,2022,23206,NCTDREAMTHEMOVIE:InADREAM,,
22,2022,21779,邪門,,
23,2022,21823,非常殺手,,
25,2022,9051,燃燒烈愛,,
26,2022,20335,緣來大飯店,,
29,2022,20402,無間對決,,
30,2022,22653,人生真美麗,,
31,2022,22221,界限,,
33,2022,22628,政客誠實中2,,
34,2022,18829,衝鋒戰士劇場版：翁法洛斯島的秘密,,
36,2022,20942,超跑斯特拉,,
37,2022,21164,死亡預報,,
38,2022,23390,碰碰狐音樂電影:奇幻城嘉年華,,
41,2022,20633,遊走塵市間,,
42,2022,20778,為人民服務,,
43,2022,22818,笑子當老大,,
45,2022,20473,亡命陷阱,,
47,2022,20994,春川神秘中邪事件,,
48,2022,18794,無人之境,,
49,2022,20555,在你面前,,
50,2022,23146,小說家電影,,
51,2022,20801,阿爸休假中,,
52,2022,22754,時間之舞,,
55,2022,19811,浮生,,
56,2022,22858,海鷗來過的房間,,
57,2022,21384,黎巴嫩的天空,,
59,2022,18924,瑪雅蜜蜂大冒險：守護小金蛋,,
60,2022,21265,PINA,,
63,2022,20589,再見列寧！,,
65,2022,21664,永別了，柏林,,
66,2022,21214,自然就樹美,,
67,2022,20534,我是你的完美男友,,
68,2022,22432,逃出風暴,,
69,2022,20223,鄰危不亂,,
76,2022,20103,騎趣環世界,,
77,2022,18291,型男斷捨離,,
78,2022,19920,人性遊戲,,
79,2022,23290,蘿拉快跑,,
80,2022,22270,危雞總動員,,
81,2022,19372,達賴喇嘛:大腦故事,,
82,2022,21998,請為我在羅馬多留一天,,
83,2022,20313,非甜蜜生活,,
86,2022,21263,愛在書店相遇時,,
87,2022,21352,隔離巢,,
88,2022,20239,戰地夜曲,,
90,2022,21045,阿哈：帶我走,,
93,2022,21919,妖街皇后,,
94,2022,20556,愛你讓我自由,,
95,2022,21659,黑貓白貓：4K數位修復版,,
96,2022,22648,替屍鬼2：詛咒再臨,,
97,2022,20460,鬼電梯,,
98,2022,20975,越驚,,
99,2022,20929,祖怨,,
101,2022,19408,逃出奧斯威辛,,
103,2022,20336,慕夏狂潮：從崛起到永恆,,
104,2022,19627,勇鼠闖天堂,,
105,2022,21740,浪浪回家路,,
107,2022,18629,亞馬遜守護者：安珀傳奇(英語版),,
108,2022,21223,格列佛遊記：重返小人國,,
109,2022,22198,沒有煙硝的日子,,
110,2022,20265,2gether電影版：只因我們天生一對,,
111,2022,21115,猛鬼大學：第2學期,,
112,2022,21436,鬼單眼,,
113,2022,20654,凝弒,,
115,2022,21210,淒厲人僧：卡到陰,,
117,2022,21066,愛在暹邏：數位經典版,,
118,2022,20314,記憶,,
119,2022,20413,波米叔叔的前世今生,,
120,2022,22110,超級蜥蜴王,,
121,2022,20365,世界上最爛的人,,
122,2022,21974,愛重奏,,
124,2022,19764,忍者寶寶,,
125,2022,20672,秋月,,
129,2022,16476,麥路人,,
130,2022,21732,花樣年華4K數位修復版,,
131,2022,7331,春光乍洩,,
132,2022,20716,重慶森林4K數位修復版,,
133,2022,18149,墮落天使4K數位修復版,,
134,2022,9993,阿飛正傳,,
135,2022,20763,胭脂扣,,
140,2022,20343,G風暴,,
141,2022,20702,阮玲玉,,
142,2022,20741,英雄本色,,
144,2022,10916,霸王別姬(數位修復版),,
148,2022,21047,邊緣行者,,
149,2022,20697,秋天的童話,,
150,2022,21801,繼園臺七號,,
151,2022,23391,正義迴廊,,
152,2022,21812,美少年之戀,,
153,2022,21517,喜歡妳是妳,,
154,2022,22231,一路瞳行,,
156,2022,22434,失衡凶間,,
157,2022,22085,玫瑰的故事,,
158,2022,21978,流金歲月,,
159,2022,22435,心裏美,,
160,2022,20671,愛在他鄉的季節,,
161,2022,21123,海上花,,
162,2022,20673,遇上1967的女神,,
163,2022,23367,無間道II,,
164,2022,23349,無間道III：終極無間,,
165,2022,23339,過時·過節,,
166,2022,20410,出租女友,,
167,2022,22758,流浪者之歌,,
168,2022,22755,卡拉之歌,,
171,2022,15965,末代皇帝（數位修復版）,,
172,2022,21389,們,,
173,2022,7689,發條橘子,,
175,2022,21017,鯊顫,,
178,2022,21312,伊恩•麥克連80歲個人秀巡迴演出（英國國家劇院現場）,,
179,2022,20693,極限逃殺,,
182,2022,21758,法蘭克札帕：從前衛到當代,,
183,2022,21906,我們的英搖時光,,
184,2022,20076,愛上費加洛,,
185,2022,21268,羅密歐與茱麗葉（英國國家劇院現場）,,
186,2022,18530,裸體午餐,,
187,2022,23342,初步舉證,,
