TWName,TMDBID
緊急迫降,626872
機密同盟2,736820
音爆浩劫,774548
樂透大作戰,821153
魔女二部曲：另一個她,615173
嬰兒轉運站,736732
犯罪都市2,619803
外星+人,601796
行動代號：狼狩獵,799379
獵首密令,727340
語意錯誤電影版,993885
分手的決心,705996
極速快遞,606403
局中局,634595
SEVENTEEN POWER OF LOVE : THE MOVIE,946615
厄憶追凶,633374
金派特務,629028
PHANTOM: THE MUSICAL FILM,Not Found
韓山島海戰,588108
晝盲神探,806128
NCT DREAM THE MOVIE : In A DREAM,1038198
整形帝王,717090
邪門,1033667
非常殺手,938008
獵魂者,602295
燃燒烈愛,491584
緣來大飯店,821661
失控正義,65760
共感頻率,962489
無間對決,610321
人生真美麗,616670
界限,718289
空氣殺人,731684
政客誠實中2,795276
衝鋒戰士劇場版：翁法洛斯島的秘密,577205
奇怪的數學家,628802
超跑斯特拉,630217
死亡預報,626129
碰碰狐音樂電影:奇幻城嘉年華,1042808
王者製造,573787
花路阿朱媽,958937
遊走塵市間,Not Found
為人民服務,743814
笑子當老大,817557
茲山魚譜,581390
亡命陷阱,840528
引言,795797
春川神秘中邪事件,817480
無人之境,589713
在你面前,820517
小說家電影,928713
阿爸休假中,743475
時間之舞,Not Found
閨蜜大狂殺,934207
花果飄零,889507
浮生,1207123
海鷗來過的房間,1029149
黎巴嫩的天空,Not Found
聽見心嘻望,575764
瑪雅蜜蜂大冒險：守護小金蛋,681260
PINA,57276
詭棋,934957
米婭的精靈王國,955644
再見列寧！,338
非戀人絮語,567927
永別了，柏林,620498
自然就樹美,Not Found
我是你的完美男友,795813
逃出風暴,Not Found
鄰危不亂,681349
趴兔青春期,871530
指考風暴,852457
泳漾水男孩,739323
熟女解放中,607442
騎趣環世界,Not Found
型男斷捨離,546630
人性遊戲,776542
蘿拉快跑,104
危雞總動員,Not Found
達賴喇嘛:大腦故事 ,Not Found
請為我在羅馬多留一天,Not Found
非甜蜜生活,608980
真愛超能力,612491
洞,47060
愛在書店相遇時,654344
隔離巢,752616
戰地夜曲,Not Found
星夢性快感,592695
阿哈：帶我走,655738
瑞士鐘錶師,749136
女孩與蜘蛛,517815
妖街皇后,230141
愛你讓我自由,835975
黑貓白貓：4K數位修復版,Not Found
替屍鬼2：詛咒再臨,1016737
鬼電梯,760522
越驚,930478
祖怨,947890
迷霧中的孩子,893030
逃出奧斯威辛,717694
喬治亞天空下 ,795815
慕夏狂潮：從崛起到永恆,Not Found
勇鼠闖天堂,588890
浪浪回家路,725133
野蠻人入侵,796151
亞馬遜守護者：安珀傳奇,588921
格列佛遊記：重返小人國,763539
沒有煙硝的日子,913760
2gether電影版：只因我們天生一對,810406
猛鬼大學：第2學期,939879
鬼單眼,947514
凝弒,Not Found
魔蟲禁區,949697
淒厲人僧：卡到陰,937743
愛情需要編劇,922378
愛在暹邏：數位經典版,Not Found
記憶,77
波米叔叔的前世今生,38368
超級蜥蜴王,947049
世界上最爛的人,660120
愛重奏,530154
詭孩,660942
忍者寶寶,654074
秋月,26855
梅艷芳,848788
怒火,513692
神探大戰,543504
麥路人,640092
花樣年華 4K數位修復版,Not Found
春光乍洩,18329
重慶森林 4K數位修復版,Not Found
墮落天使  4K數位修復版,Not Found
阿飛正傳,18311
胭脂扣,68883
飯戲攻心,851800
智齒,591222
少年,575813
G風暴,814785
阮玲玉,68004
英雄本色,11471
闔家辣,851798
霸王別姬,10997
媽的星寵兒,942171
七人樂隊,537761
憂鬱之島,924120
邊緣行者,941132
秋天的童話,64015
繼園臺七號,616020
正義迴廊,1005251
美少年之戀,27060
喜歡妳是妳,876189
一路瞳行,838119
無間道,10775
失衡凶間,988900
玫瑰的故事,255860
流金歲月,255856
心裏美,987446
愛在他鄉的季節,Not Found
海上花,45935
遇上1967的女神,Not Found
無間道II,11647
無間道III：終極無間,14310
過時·過節,1021734
出租女友,876823
流浪者之歌,861947
卡拉之歌,2143
時代革命,850884
末代皇帝（數位修復版）,Not Found
們,1100099
發條橘子,185
瘋狂富作用,497828
鯊顫,960258
餐廳失控夜,807196
士兵與軍官,797838
伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,Not Found
極限逃殺,924482
如果驢知道,785398
算牌手,643532
法蘭克札帕：從前衛到當代,Not Found
我們的英搖時光,624793
愛上費加洛,508444
羅密歐與茱麗葉（英國國家劇院現場）,Not Found
裸體午餐,2742
初步舉證,Not Found
超速性追緝,884
利奥波德城（英國國家劇院現場）,Not Found
性愛成癮的男人,76025
丹尼爾約翰斯頓：魔鬼詩篇,Not Found
遮蔽的天空,24016
瑪莉娜的512小時,816344
波西米亞人（英國皇家歌劇院）,Not Found
馬克白（英國皇家歌劇院）,Not Found
山那邊的青稞田,496404
夢迴西藏：軍官與達賴喇嘛,Not Found
偷香 數位修復版,Not Found
曼儂‧雷斯科（英國皇家歌劇院）,Not Found
大製片家,844176
毫無意義,42035
兩情世界,Not Found
打擊驚魂,Not Found
小心女人,1166487
捍衛戰士: 獨行俠,361743
蜘蛛人：無家日,634649
阿凡達：水之道,76600
侏羅紀世界: 統霸天下,507086
永恆族,524434
黑豹 2：瓦干達萬歲,505642
奇異博士2：失控多重宇宙,453395
雷神索爾：愛與雷霆,616037
金牌特務：金士曼起源,476669
猛毒2：血蜘蛛,580489
沙丘,438631
007 生死交戰,370172
尚氣與十環傳奇,566525
黑亞當,436270
小小兵2:格魯的崛起,438148
蝙蝠俠,414906
怪獸與鄧不利多的秘密,338953
子彈列車,718930
秘境探險,335787
脫稿玩家,550988
媽的多重宇宙,545611
駭客任務：復活,624860
月球隕落,406759
惡靈古堡首部曲：拉昆市,460458
魔比斯,526896
黑寡婦,497698
巴斯光年,718789
尼羅河謀殺案,505026
魔法滿屋,568124
微笑,1100782
歡樂好聲音 2,438695
失落謎城,752623
劫命救護,763285
孤兒怨2：最黑暗的過去,760161
GUCCI：豪門謀殺案,644495
壞蛋聯盟,1329336
汪汪隊立大功電影版,675445
幸福入場券,800939
音速小子 2,675353
五星饗魘,593643
厲陰宅3：是惡魔逼我的,423108
阿凡達 ,19995
不!,762504
DC超級寵物軍團,539681
捍衛救援,634528
路卡的夏天,508943
魔鬼剋星：未來世,425909
夜路,597208
貓王艾維斯,614934
法蘭西特派週報,542178
寶貝老闆：家大業大,459151
墜,985939
殺手保鑣2,522931
決戰38度線,653851
黑光行動,823625
密弒遊戲2：勝者危亡,585216
疾厄,619778
鬼禱,676547
闇黑電話,756999
超吉任務,648579
以你的名字呼喚我,398818
哈利波特：神秘的魔法石,671
暫時停止呼吸2,482373
疾凍救援,646207
暴戾夜,899112
355：諜影特攻,522016
天兵阿榮,482321
奇異冒險 ,877269
驚聲尖叫,41446
迷離夜蘇活,576845
王者理查,614917
沼澤謀殺案,682507
阿姆斯特丹,664469
月光光新慌慌：萬聖殺,610253
夢想之地,615643
阿達一族 2,639721
拉辛正傳,601635
大紅狗克里弗,585245
別擔心親愛的,619730
記憶殺神,818397
月光光新慌慌：萬聖結,616820
史賓賽,716612
鞋貓劍客 2,315162
骨肉的總和,791177
三千年的渴望,556694
哥兒們,614939
鹿魔,516329
最後的決鬥,617653
看你往哪跑,766475
西城故事,511809
獸,1144962
捍衛戰士,361743
喜悅：達賴喇嘛遇見屠圖主教,836723
娶我吧!,615904
世紀婚魘,830788
天黑請斃命,520023
2001太空漫遊,62
王牌冤家,38
毛骨悚然：惡魔重生,717728
死間行動,661231
刀鋒劍客,366672
鬼店,694
救命緝約,628900
與你共舞,696157
蜘蛛人：無家日 戲院加長版,Not Found
她有話要說,837881
達賴的一生,9746
天劫高手,842942
絕命通話,764835
說不出的告別,536396
貝爾法斯特,777270
黑特冤家,603661
驚爆倒數60分鐘,888195
看不見的殺機,825808
絕命線阱,979924
驅神,836225
逍遙上路,626735
八月三十一日，我在奧斯陸,75233
俠探特攻：全面追緝,1024546
終極堡壘,826749
終極攻佔,718949
金甲部隊,600
地球重生,760873
獵殺戰場,733317
生命理賠師,649394
俠探特攻：贖罪行動,1035803
玩命獵殺,628878
完美的敵人,655917
大開眼戒,345
午後彌撒 ,423333
危城行動,762433
劫獄救援,818192
終極交戰,864116
齊瓦哥醫生,907
全面掃蕩,689700
朝聖之路：聖雅各,59468
詭謎藏,801271
殺戮基地,848123
爽賺姐妹,628914
情聖西哈諾,730047
四個好日子,641960
心碎效應,844398
蘿莉塔,9769
探戈行不行,Not Found
終極夜路,916821
終極包圍戰,766907
通靈女校,641668
進擊的地才,821427
投機者樂團：愛的鼓勵,Not Found
終極狩獵團,763164
公共圖書館員,331986
盜夢睡務員,Not Found
最後的生存者,789171
鱷魚歌王,830784
終極堡壘2,883502
BJ單身日記,634
美國舞孃,10802
異類崛起,850099
魔境夢遊,12155
殲獄行動,811592
貓爸爸們,896689
超級救援狗,577721
藝術恐怖份子 班克斯,Not Found
深海獵奇,17700
圓滾滾藝術家-費爾南多·波特羅,Not Found
馬達加斯加：狐猴之島,Not Found
最後的冰川,Not Found
不可侵犯：溫斯坦性醜聞,Not Found
為所應為,925
哈勃望遠鏡,Not Found
小行星獵人,Not Found
回歸野性,Not Found
海底世界,1306218
大熊貓,676685
高原上的家屋,913820
地下社會,11902
鬼保母,575088
絕命第19排,659384
致命最前線,579831
逃出封鎖線,597859
心悸效應,575072
大尉叛逃記,818621
獵空計畫,818415
核爆車諾比,589761
鏡子,1396
潛行者,1398
月影歸途,987424
鬼雙胞,477462
反恐行動：獨立日,655302
當女孩戀愛時,683363
孵魔,517302
朵貝的愛情繪本,608232
不看鐵達尼號的男人,716855
拜金女王的性愛派對,881764
機遇之歌：數位修復版,Not Found
大獲拳勝,845875
永遠的一天,24858
鸛鳥踟躕,Not Found
燃燒女子的畫像,531428
蝙狐俠：英雄覺醒,746333
天才貓奴畫家,617762
黑盒線索,663260
鈦,630240
正發生,793998
藍色情挑 經典數位修復,Not Found
死噬,955569
紅色情深 經典數位修復,Not Found
白色情迷 經典數位修復,Not Found
今敏：造夢魔術師,809488
小獅子王,892527
親愛的童伴,749004
友你才精彩,757999
拆彈倒數30分鐘,827887
席琳狄翁外傳：愛的力量,498402
艾菲爾情緣,655082
失業風暴,601188
好好說再見,654323
一屍到底：法屍浪漫,852438
最後一件晚禮服的秘密,719463
就在今夜,895659
玩命光頭,826218
柏格曼的島,477044
巴黎夢想家,660000
天堂計劃,735726
失速母親,833417
密室譯戰,477018
尋子風暴,750253
我的神秘狼朋友,754067
春日小戀曲,712134
降臨節日曆,762079
雙面薇若妮卡 經典數位修復,Not Found
烈火少女（英文版）,Not Found
來自巴黎的情書,833428
消失的達文西,Not Found
全面開戰,458156
四百擊,147
一萬個叢林夜,695089
瑪歌皇后 數位修復版,Not Found
書情話慾,774343
有你就是家,914203
斷了氣,269
越界分身,659988
情慾告白,526811
破碎的琴鍵,712128
夏日之戀,1628
影像之書,414030
仰望星空的少年,712178
豪門媳婦日記,660955
藍色是最溫暖的顏色,152584
最後地下鐵,1716
喀布爾之燕,582881
屠女養成記,757341
幸福知音,809733
美好的早晨,747779
安妮詩快跑,781453
真實世界,664506
阿爾發城,8072
抓狂養老院,736500
狂人皮耶洛,Not Found
她和她的小主廚們,845140
賴活,1626
芳名卡門,Not Found
我所知道她的二三事,8074
男性，女性,4710
執愛不悔,594691
夜色中的她,810677
破膽三次,11298
索蘭琪的少女心事,749107
追憶似水年華 數位修復版,Not Found
往事追憶錄,Not Found
蓋爾芒特家情事,Not Found
衡量一個人,Not Found
一路上有妳,589985
築愛巴黎,582886
塞瑟島之旅,47792
希臘二部曲：時光灰燼,51735
獵人,539972
尤里西斯生命之旅,Not Found
養蜂人,Not Found
霧中風景,47795
夢想裁縫師,764810
三六年的歲月,Not Found
流浪藝人,Not Found
平行母親,766798
丟包大作戰,755437
瘋狂競賽片,668640
雙子謀殺案：白城之寂,542917
放牛班足球隊,954748
湯恩與劍客汪汪隊,768726
遺屍物,946706
蝸牛之家,772148
瀕臨崩潰邊緣的女人 經典數位修復,Not Found
慾望法則 經典數位修復,Not Found
我造了什麼孽 經典數位修復,Not Found
櫻櫻大日本,1012540
 修女夜難熬 經典數位修復,Not Found
米其林母子檔,Not Found
梵天神器：滅世開端,496331
偉大的印度廚房,786064
天堂電影院,821494
鬼搖靈2：陰語陣陣,925786
娜娜：逝水年華,859933
懾影屍,655363
忌妒的藍圖,574078
親愛的母親,78182
天菜特警,792775
何處是我朋友的家？,49964
櫻桃的滋味 數位修復版,Not Found
橄欖樹下的情人,47104
生生長流,83761
我不是英雄,672208
風帶著我來 數位修復版,Not Found
贖罪風暴,669401
禁止下錨+海中網+妹妹+庭中有奇樹,Not Found
沉默呼聲,888602
麥特與麥斯,519141
未來犯罪,819876
親情解鎖,554761
他奶奶的變裝皇后,740963
