,Year,MovieId,Name,tmdb_id,tmdb_title
17,2022,20553,PHANTOM: THE MUSICAL FILM,,
34,2022,18829,衝鋒戰士劇場版：翁法洛斯島的秘密,,
38,2022,23390,碰碰狐音樂電影:奇幻城嘉年華,,
41,2022,20633,遊走塵市間,,
52,2022,22754,時間之舞,,
55,2022,19811,浮生,,
56,2022,22858,海鷗來過的房間,,
57,2022,21384,黎巴嫩的天空,,
60,2022,21265,PINA,,
63,2022,20589,再見列寧！,,
66,2022,21214,自然就樹美,,
68,2022,22432,逃出風暴,,
74,2022,20103,騎趣環世界,,
78,2022,22270,危雞總動員,,
79,2022,19372,達賴喇嘛:大腦故事 ,,
80,2022,21998,請為我在羅馬多留一天,,
86,2022,20239,戰地夜曲,,
91,2022,21919,妖街皇后,,
93,2022,21659,黑貓白貓：4K數位修復版,,
94,2022,22648,替屍鬼2：詛咒再臨,,
100,2022,22895,喬治亞天空下 ,,
101,2022,20336,慕夏狂潮：從崛起到永恆,,
111,2022,20654,凝弒,,
115,2022,21066,愛在暹邏：數位經典版,,
119,2022,20365,世界上最爛的人,,
120,2022,21974,愛重奏,,
128,2022,21732,花樣年華 4K數位修復版,,
130,2022,20716,重慶森林 4K數位修復版,,
131,2022,18149,墮落天使  4K數位修復版,,
153,2022,22434,失衡凶間,,
157,2022,20671,愛在他鄉的季節,,
159,2022,20673,遇上1967的女神,,
162,2022,23339,過時·過節,,
163,2022,20410,出租女友,,
167,2022,15965,末代皇帝（數位修復版）,,
168,2022,21389,們,,
174,2022,21312,伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,,
178,2022,21758,法蘭克札帕：從前衛到當代,,
181,2022,21268,羅密歐與茱麗葉（英國國家劇院現場）,,
183,2022,23342,初步舉證,,
185,2022,21515,利奥波德城（英國國家劇院現場）,,
187,2022,22407,丹尼爾約翰斯頓：魔鬼詩篇,,
188,2022,14021,遮蔽的天空,,
190,2022,20418,波西米亞人（英國皇家歌劇院）,,
191,2022,20519,馬克白（英國皇家歌劇院）,,
193,2022,23320,夢迴西藏：軍官與達賴喇嘛,,
194,2022,21869,偷香 數位修復版,,
195,2022,20337,曼儂‧雷斯科（英國皇家歌劇院）,,
198,2022,20293,兩情世界,,
199,2022,20292,打擊驚魂,,
200,2022,20290,小心女人,,
201,2022,21117,捍衛戰士: 獨行俠,,
204,2022,21161,侏羅紀世界: 統霸天下,,
206,2022,23049,黑豹 2：瓦干達萬歲,,
212,2022,19468,007 生死交戰,,
215,2022,20810,小小兵2:格魯的崛起,,
231,2022,20210,歡樂好聲音 2,,
236,2022,20212,GUCCI：豪門謀殺案,,
240,2022,20820,音速小子 2,,
243,2022,22416,阿凡達 ,,
244,2022,21896,不!,,
248,2022,19955,魔鬼剋星：未來世,,
250,2022,21582,貓王艾維斯,,
269,2022,23138,奇異冒險 ,,
277,2022,20137,阿達一族 2,,
284,2022,23144,鞋貓劍客 2,,
295,2022,20459,娶我吧!,,
306,2022,22222,蜘蛛人：無家日 戲院加長版,,
331,2022,21388,午後彌撒 ,,
345,2022,21116,探戈行不行,,
350,2022,20735,投機者樂團：愛的鼓勵,,
353,2022,20761,盜夢睡務員,,
364,2022,20605,藝術恐怖份子 班克斯,,
365,2022,21038,深海獵奇,,
366,2022,20714,圓滾滾藝術家-費爾南多·波特羅,,
367,2022,21040,馬達加斯加：狐猴之島,,
368,2022,21039,最後的冰川,,
369,2022,17975,不可侵犯：溫斯坦性醜聞,,
371,2022,21041,哈勃望遠鏡,,
372,2022,21036,小行星獵人,,
373,2022,21037,回歸野性,,
375,2022,23287,大熊貓,,
396,2022,20457,機遇之歌：數位修復版,,
399,2022,21363,鸛鳥踟躕,,
406,2022,2813,藍色情挑 經典數位修復,,
408,2022,2815,紅色情深 經典數位修復,,
409,2022,2814,白色情迷 經典數位修復,,
415,2022,21809,席琳狄翁外傳：愛的力量,,
418,2022,21019,好好說再見,,
432,2022,2224,雙面薇若妮卡 經典數位修復,,
433,2022,21796,烈火少女（英文版）,,
435,2022,22356,消失的達文西,,
439,2022,21862,瑪歌皇后 數位修復版,,
447,2022,10331,影像之書,,
460,2022,19224,狂人皮耶洛,,
463,2022,23275,芳名卡門,,
464,2022,23274,我所知道她的二三事,,
470,2022,17254,追憶似水年華 數位修復版,,
471,2022,21355,往事追憶錄,,
472,2022,21356,蓋爾芒特家情事,,
473,2022,938,衡量一個人,,
479,2022,21364,尤里西斯生命之旅,,
480,2022,21361,養蜂人,,
