,tw_title,tmdb_id,tmdb_title
0,緊急迫降,626872,緊急迫降
1,機密同盟2,736820,機密同盟2
2,機密同盟2,434119,機密同盟
3,音爆浩劫,774548,音爆浩劫
4,樂透大作戰,821153,樂透大作戰
5,魔女二部曲：另一個她,615173,魔女二部曲：另一個她
6,嬰兒轉運站,736732,嬰兒轉運站
7,犯罪都市2,619803,犯罪都市2
8,犯罪都市2,955555,犯罪都市3
9,犯罪都市2,479718,犯罪都市
10,犯罪都市2,1017163,犯罪都市4
11,外星+人,601796,外星+人
12,外星+人,626412,外星+人2：回到未來
13,外星+人,601,E.T. 外星人
14,外星+人,668343,外星人爆發
15,外星+人,10547,外星人入侵
16,外星+人,15512,怪獸大戰外星人
17,外星+人,422803,笑笑羊大電影：外星人來了
18,外星+人,39513,我們撞到外星人
19,外星+人,574037,瘋狂的外星人
20,外星+人,669122,外星人事件
21,外星+人,20856,樓上的外星人
22,外星+人,10516,警察智鬥外星人
23,外星+人,935092,外星人事件2
24,外星+人,870360,樂一通大戰外星人：粉紅末日
25,外星+人,9773,解剖外星人
26,外星+人,1296715,爸爸是外星人
27,外星+人,526475,綁架外星人
28,外星+人,965776,外星人台灣現形記
29,外星+人,889094,超能外星人
30,外星+人,887478,外星人来了
31,行動代號：狼狩獵,799379,行動代號：狼狩獵
32,獵首密令,727340,獵首密令
33,語意錯誤電影版,993885,語意錯誤電影版
34,分手的決心,705996,分手的決心
35,極速快遞,606403,極速快遞
36,局中局,634595,局中局
37,局中局,667937,橫財局中局
38,局中局,919224,古董局中局之國畫密碼
39,局中局,820099,古董局中局
40,局中局,1061346,局中劫
41,局中局,1169329,局中人
42,局中局,665867,驚天局中局
43,局中局,1247,特務風雲：中情局誕生秘辛
44,局中局,474753,中國大騙局
45,局中局,956643,女神捕之局中局
46,局中局,903817,外八门之局中局
47,局中局,966902,古董局中局之佛头起源
48,局中局,1369631,玩命局中局
49,局中局,1336458,金牌律师之局中局
50,局中局,1272187,江城故事之局中局
51,局中局,1353951,开创中国特色大国外交新局面—习近平主席2015年出访实录
52,局中局,1273472,“骗骗”喜欢你
53,局中局,53404,Love Crime
54,局中局,243831,Jackpot
55,局中局,771257,騙騙愛上你
56,SEVENTEEN POWER OF LOVE : THE MOVIE,946615,SEVENTEEN POWER OF LOVE : THE MOVIE
57,厄憶追凶,633374,厄憶追凶
58,金派特務,629028,金派特務
59,PHANTOM: THE MUSICAL FILM,NotFound,NotFound
60,韓山島海戰,588108,韓山島海戰
61,晝盲神探,806128,晝盲神探
62,NCT DREAM THE MOVIE : In A DREAM,1038198,NCT DREAM THE MOVIE : In A DREAM
63,整形帝王,717090,整形帝王
64,邪門,1033667,粽邪3：鬼門開
65,邪門,877260,邪門
66,邪門,1203051,Travels of Lord Mito Pt.4
67,邪門,283445,凶兆2：雙瘋
68,邪門,335796,碟仙：惡靈始源
69,非常殺手,938008,非常殺手
70,獵魂者,602295,獵魂者
71,燃燒烈愛,491584,燃燒烈愛
72,緣來大飯店,821661,緣來大飯店
73,失控正義,65760,追密者：失控正義
74,失控正義,882580,失控正義
75,共感頻率,962489,共感頻率
76,無間對決,610321,無間對決
77,人生真美麗,616670,人生真美麗
78,界限,718289,界限
79,界限,104952,Anatomia Extinction
80,界限,579467,無界限
81,界限,1071136,Kōfuku no genkai
82,界限,327763,老闆好黑
83,界限,602925,The Cheering Squad: Breaking Through The Limits
84,界限,1228299,Sekai ni michi ga aru kagiri
85,界限,1302714,Extremely Scary Surveillance Camera: Ultimate Horror Footage - 10 Clips
86,界限,1389067,羅志祥 罗志祥 極限拼圖世界巡迴演唱會 2014
87,界限,381873,加速世界 INFINITE BURST
88,界限,8353,Limite
89,界限,574451,尋找無限的盡頭
90,界限,442033,夢想之大：構建我們的世界
91,界限,343887,The Last Laugh
92,界限,889607,我們的限時約定
93,界限,328387,玩命直播
94,界限,828146,地球臨界點
95,界限,198727,Pinjar
96,界限,235247,BloodBound
97,界限,797861,穿越未知世界
98,空氣殺人,731684,空氣殺人
99,空氣殺人,1022489,（真）新的一天
100,政客誠實中2,795276,政客誠實中2
101,衝鋒戰士劇場版：翁法洛斯島的秘密,577205,衝鋒戰士 劇場版：翁法洛斯島的秘密
102,奇怪的數學家,628802,奇怪的數學家
103,超跑斯特拉,630217,超跑斯特拉
104,死亡預報,626129,死亡預報
105,碰碰狐音樂電影:奇幻城嘉年華,1042808,Pinkfong Sing-Along Movie 2: Wonderstar Concert
106,王者製造,573787,王者製造
107,花路阿朱媽,958937,花路阿朱媽
108,遊走塵市間,NotFound,NotFound
109,為人民服務,743814,為人民服務
110,笑子當老大,817557,笑子當老大
111,茲山魚譜,581390,茲山魚譜
112,亡命陷阱,840528,亡命陷阱
113,引言,795797,引言
114,引言,968092,宮崎駿 引退宣言 知られざる物語
115,引言,557958,"The Work of Hayao Miyazaki ""The Wind Rises"" Record of 1000 Days/Retirement Announcement Unknown Story"
116,引言,416148,A片男神
117,春川神秘中邪事件,817480,春川神秘中邪事件
118,無人之境,589713,無人之境
119,在你面前,820517,在你面前
120,在你面前,829181,我伪装起来了，就在你面前
121,小說家電影,928713,小說家電影
122,阿爸休假中,743475,阿爸休假中
123,時間之舞,NotFound,NotFound
124,閨蜜大狂殺,934207,閨蜜大狂殺
125,花果飄零,889507,花果飄零
126,浮生,1207123,白蛇：浮生
127,浮生,428449,鬼魅浮生
128,浮生,197411,Floating Life
129,浮生,34106,浮生若夢
130,浮生,11779,樂士浮生錄
131,浮生,595280,浮生熱夢
132,浮生,436334,搖擺浮生錄
133,浮生,11386,亂世浮生
134,浮生,1076011,情牽浮生戲
135,浮生,582887,浮生年華
136,浮生,264264,太平輪：亂世浮生
137,浮生,37335,戰火浮生錄
138,浮生,523501,雷鬼浮生錄
139,浮生,382911,彼岸浮生
140,浮生,54300,永生不死：英伦摇滚的沉浮
141,浮生,528089,浮力
142,浮生,1018,穆荷蘭大道
143,浮生,11416,教會
144,浮生,8076,Tuvalu
145,浮生,21372,Life Is Hot in Cracktown
146,海鷗來過的房間,1029149,Kissing the Ground You Walked On
147,黎巴嫩的天空,NotFound,NotFound
148,聽見心嘻望,575764,聽見心嘻望
149,瑪雅蜜蜂大冒險：守護小金蛋,681260,瑪雅蜜蜂大冒險：守護小金蛋
150,PINA,57276,碧娜鮑許
151,PINA,789910,Pina
152,PINA,1097660,Pina
153,PINA,1111118,Pina
154,PINA,1119998,Pina
155,PINA,243379,One Day Pina Asked...
156,PINA,1280833,Sueñan las Piñas
157,PINA,426896,Ang Pinakamagandang Hayop sa Balat ng Lupa
158,PINA,1255134,How Was I Conceived?
159,PINA,831742,Pinagbuklod ng Langit
160,PINA,487471,What Are Pina Bausch and Her Dancers Doing in Wuppertal?
161,PINA,848477,The Rapture: La Pinacoteca
162,PINA,750090,Pinatubo: Rising from the Ashes
163,PINA,372061,The Most Beautiful Animal in the World
164,PINA,977731,Dancing Pina
165,PINA,962920,攝影記者之死：阿根廷黑金政治
166,PINA,417058,Pinamar
167,PINA,104161,Pinay Pie
168,PINA,400768,Killer Piñata
169,PINA,951796,A Piñata's Life
170,詭棋,934957,詭棋
171,米婭的精靈王國,955644,米婭的精靈王國
172,再見列寧！,338,再見列寧
173,非戀人絮語,567927,非戀人絮語
174,永別了，柏林,620498,永別了，柏林
175,自然就樹美,NotFound,NotFound
176,我是你的完美男友,795813,我是你的完美男友
177,逃出風暴,NotFound,NotFound
178,鄰危不亂,681349,鄰危不亂
179,趴兔青春期,871530,趴兔青春期
180,指考風暴,852457,指考風暴
181,泳漾水男孩,739323,泳漾水男孩
182,熟女解放中,607442,熟女解放中
183,騎趣環世界,NotFound,NotFound
184,型男斷捨離,546630,型男斷捨離
185,人性遊戲,776542,人性遊戲
186,人性遊戲,451955,雙面愛人
187,人性遊戲,997086,My Next Life as a Villainess: All Routes Lead to Doom! The Movie
188,蘿拉快跑,104,蘿拉快跑
189,危雞總動員,NotFound,NotFound
190,達賴喇嘛:大腦故事 ,NotFound,NotFound
191,請為我在羅馬多留一天,NotFound,NotFound
