movie_id,Name_id,name,Actor,Director
626872,20738,宋康昊,Yes,No
626872,25002,李炳憲,Yes,No
626872,20737,全道嬿,Yes,No
626872,110388,金南佶,Yes,No
626872,1296713,任時完,Yes,No
736820,544107,玄彬,Yes,No
736820,84996,柳海真,Yes,No
736820,1252045,潤娥,Yes,No
736820,82093,"Daniel Henney",Yes,No
736820,1989290,陳善奎,Yes,No
774548,1222330,金來沅,Yes,No
774548,1095818,李鐘奭,Yes,No
774548,1715383,鄭尚勳,Yes,No
774548,564844,朴秉恩,Yes,No
774548,1374543,李尚熙,Yes,No
821153,1257601,高庚杓,Yes,No
821153,1330446,李伊庚,Yes,No
821153,2370779,音文碩,Yes,No
821153,1834243,朴世阮,Yes,No
821153,1385609,郭東延,Yes,No
615173,2896274,신시아,Yes,No
615173,1134684,朴恩斌,Yes,No
615173,1882314,徐恩秀,Yes,No
615173,1299287,晉久,Yes,No
615173,1520280,成愉頻,Yes,No
736732,20738,宋康昊,Yes,No
736732,83014,姜棟元,Yes,No
736732,21688,裴斗娜,Yes,No
736732,1252318,IU,Yes,No
736732,1701993,李周映,Yes,No
619803,1024395,馬東石,Yes,No
619803,2035488,孫錫久,Yes,No
619803,1418581,崔奎華,Yes,No
619803,1078674,朴智煥,Yes,No
619803,1332468,허동원,Yes,No
601796,1530733,柳俊烈,Yes,No
601796,1257671,金宇彬,Yes,No
601796,1537768,金泰梨,Yes,No
601796,932821,蘇志燮,Yes,No
601796,37939,廉晶雅,Yes,No
799379,1255411,徐仁國,Yes,No
799379,1713025,張東潤,Yes,No
799379,1872629,박호산,Yes,No
799379,1252017,庭沼珉,Yes,No
799379,150697,高昌錫,Yes,No
727340,73249,李政宰,Yes,Yes
727340,17120,鄭雨盛,Yes,No
727340,150126,田慧振,Yes,No
727340,1388365,許成泰,Yes,No
727340,2791233,高允貞,Yes,No
993885,3212104,朴栖含,Yes,No
993885,2885448,朴宰燦,Yes,No
993885,3417158,"Song Ji-oh",Yes,No
993885,3096717,"Kim No-jin",Yes,No
993885,3457656,"Kim Won-gi",Yes,No
705996,38280,湯唯,Yes,No
705996,21687,박해일,Yes,No
705996,1244822,李貞賢,Yes,No
705996,1257601,高庚杓,Yes,No
705996,17124,박용우,Yes,No
606403,1442583,朴素丹,Yes,No
606403,1347175,金義城,Yes,No
606403,1299516,宋詩曦,Yes,No
606403,2084416,廉惠蘭,Yes,No
606403,2306987,정현준,Yes,No
634595,932821,蘇志燮,Yes,No
634595,28662,金倫珍,Yes,No
634595,1523043,林珍兒,Yes,No
634595,2485848,崔光一,Yes,No
634595,1552970,박현숙,Yes,No
946615,1897256,에스쿱스,Yes,No
946615,1897257,정한,Yes,No
946615,1897258,조슈아,Yes,No
946615,1625880,준,Yes,No
946615,1897260,호시,Yes,No
633374,141548,李聖旻,Yes,No
633374,1459772,南柱赫,Yes,No
633374,553237,박근형,Yes,No
633374,1044800,鄭滿植,Yes,No
633374,141541,尹帝文,Yes,No
629028,1255413,金英光,Yes,No
629028,1716008,李先彬,Yes,No
629028,1856377,吳代煥,Yes,No
629028,1765534,徐鉉哲,Yes,No
629028,1607301,최병모,Yes,No
588108,21687,박해일,Yes,No
588108,1337780,卞約漢,Yes,No
588108,17121,안성기,Yes,No
588108,1015873,孫賢周,Yes,No
588108,2159394,金聖圭,Yes,No
806128,1530733,柳俊烈,Yes,No
806128,84996,柳海真,Yes,No
806128,240081,崔武成,Yes,No
806128,551171,趙成夏,Yes,No
806128,1694435,朴明勳,Yes,No
1038198,2097348,재민,Yes,No
1038198,2097334,마크,Yes,No
1038198,2097350,런쥔,Yes,No
1038198,2097346,해찬,Yes,No
1038198,2097347,제노,Yes,No
717090,1024395,馬東石,Yes,No
717090,79578,鄭敬淏,Yes,No
717090,1349163,吳娜拉,Yes,No
717090,1607301,최병모,Yes,No
717090,1299473,林炯俊,Yes,No
877260,75914,徐令姬,Yes,No
877260,573792,金民宰,Yes,No
877260,2278760,"Kim Bo-min",Yes,No
877260,1179570,曹秀香,Yes,No
877260,4842678,"Park Hyuk Kwon",Yes,No
938008,63438,張赫,Yes,No
938008,3439595,"Lee Seo-young",Yes,No
938008,1624033,"브루스 칸",Yes,No
938008,2452392,방은정,Yes,No
938008,1113060,李承俊,Yes,No
602295,1257592,尹啟相,Yes,No
602295,17124,박용우,Yes,No
602295,1329984,林智妍,Yes,No
602295,1128004,柳承穆,Yes,No
602295,1078674,朴智煥,Yes,No
491584,572225,劉亞仁,Yes,No
491584,215055,連相燁,Yes,No
491584,1937533,全鐘瑞,Yes,No
491584,2043067,김수경,Yes,No
491584,1703282,최승호,Yes,No
821661,1010877,韓志旼,Yes,No
821661,1238592,李棟旭,Yes,No
821661,1257899,姜河那,Yes,No
821661,1350000,徐康俊,Yes,No
821661,1252045,潤娥,Yes,No
882580,1473841,朴珍榮,Yes,No
882580,4259,金永敏,Yes,No
882580,2455171,金東輝,Yes,No
882580,2218708,宋建熙,Yes,No
882580,1332468,허동원,Yes,No
962489,1207629,呂珍九,Yes,No
962489,2185341,趙怡賢,Yes,No
962489,2214888,金惠奫,Yes,No
962489,2935390,羅人友,Yes,No
962489,3104322,裴仁爀,Yes,No
610321,138336,趙震雄,Yes,No
610321,1255881,崔宇植,Yes,No
610321,93999,朴喜洵,Yes,No
610321,1564168,權律,Yes,No
610321,1694435,朴明勳,Yes,No
616670,227638,柳承龍,Yes,No
616670,37939,廉晶雅,Yes,No
616670,1834243,朴世阮,Yes,No
616670,1988291,邕聖祐,Yes,No
616670,2270672,沈達琪,Yes,No
718289,1244822,李貞賢,Yes,No
718289,1077269,문정희,Yes,No
718289,1755036,진서연,Yes,No
718289,1694435,朴明勳,Yes,No
718289,141857,崔德文,Yes,No
731684,69378,김상경,Yes,No
731684,1716008,李先彬,Yes,No
731684,560081,尹敬浩,Yes,No
731684,75914,徐令姬,Yes,No
731684,1530559,張赫鎮,Yes,No
795276,980225,羅美蘭,Yes,No
795276,84788,金武烈,Yes,No
795276,560081,尹敬浩,Yes,No
795276,1591370,徐現宇,Yes,No
795276,1295461,朴昣奏,Yes,No
628802,64880,崔岷植,Yes,No
628802,2455171,金東輝,Yes,No
628802,1292971,朴海俊,Yes,No
628802,564844,朴秉恩,Yes,No
628802,1984373,조윤서,Yes,No
630217,1134685,孫浩俊,Yes,No
630217,1916075,李奎炯,Yes,No
630217,1388365,許成泰,Yes,No
630217,572182,全盧民,Yes,No
630217,2133923,이중옥,Yes,No
626129,1263930,千玗嬉,Yes,No
626129,25004,申河均,Yes,No
626129,588209,李慧英,Yes,No
626129,1988598,朴智賢,Yes,No
626129,2313835,차래형,Yes,No
573787,85008,설경구,Yes,No
573787,115290,李善均,Yes,No
573787,1336804,劉宰明,Yes,No
573787,1566012,趙祐鎮,Yes,No
573787,1277308,朴仁煥,Yes,No
958937,146114,"Hong Huifang",Yes,No
958937,3229192,姜亨碩,Yes,No
958937,1239245,鄭東煥,Yes,No
958937,2199863,"Shane Pow",Yes,No
958937,1207629,呂珍九,Yes,No
743814,1346848,延玗臻,Yes,No
743814,2079947,"Ji an",Yes,No
743814,551171,趙成夏,Yes,No
743814,552072,丁奎秀,Yes,No
743814,3441296,"Kim Ji-chul",Yes,No
817557,1299516,宋詩曦,Yes,No
817557,980225,羅美蘭,Yes,No
