tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
18311,DE,12,[],,Berlin International Film Festival,1991-02-23 00:00:00+00:00,1
18311,IT,T,[],,Cinema Giovani,1991-11-12 00:00:00+00:00,3
18311,US,NR,[],,"New York City, New York",1991-03-13 00:00:00+00:00,1
68004,TW,,[],,,1991-11-29 00:00:00+00:00,3
2742,GB,,[],,London,1991-12-12 00:00:00+00:00,1
2742,US,R,[],,,1991-12-27 00:00:00+00:00,2
744,HU,12,[],,,1991-01-03 00:00:00+00:00,3
1600,CA,,[],,Toronto International Film Festival,1991-09-07 00:00:00+00:00,1
1600,DE,12,[],,,1991-10-31 00:00:00+00:00,3
1600,DK,,[],,,1991-11-29 00:00:00+00:00,3
1600,FI,S,[],,,1991-09-20 00:00:00+00:00,3
1600,FR,,[],,Cannes Film Festival,1991-05-15 00:00:00+00:00,1
1600,FR,,[],,,1991-05-15 00:00:00+00:00,3
1600,KR,18,[],,,1991-11-09 00:00:00+00:00,3
1600,NL,16,[],,,1991-10-04 00:00:00+00:00,3
1600,SE,11,[],,,1991-09-20 00:00:00+00:00,3
1600,US,R,[],,New York Film Festival,1991-09-20 00:00:00+00:00,1
1600,US,R,[],,,1991-11-22 00:00:00+00:00,3
4203,KR,15,[],,,1991-06-22 00:00:00+00:00,3
8392,AU,G,[],,,1991-06-13 00:00:00+00:00,2
10515,GB,,[],,,1991-12-13 00:00:00+00:00,3
15080,JP,,[],,,1991-07-20 00:00:00+00:00,3
316569,SG,,[],,,1991-03-26 00:00:00+00:00,3
581,AT,,[],,,1991-02-22 00:00:00+00:00,3
581,AU,M,[],,,1991-02-14 00:00:00+00:00,3
581,BE,,[],,,1991-02-20 00:00:00+00:00,3
581,BR,14,[],,,1991-03-15 00:00:00+00:00,3
581,CH,12,[],de,,1991-02-22 00:00:00+00:00,3
581,CH,,[],fr,,1991-03-06 00:00:00+00:00,3
581,DE,12,[],,,1991-02-21 00:00:00+00:00,3
581,DK,15,[],,,1991-05-10 00:00:00+00:00,3
581,ES,APTA,[],,,1991-03-08 00:00:00+00:00,3
581,FI,,[],,,1991-02-15 00:00:00+00:00,3
581,FR,U,[],,,1991-02-20 00:00:00+00:00,3
581,GB,15,[],,,1991-02-08 00:00:00+00:00,3
581,GB,12,[],,15 on video,1991-02-08 00:00:00+00:00,5
581,GR,13,[],,,1991-02-21 00:00:00+00:00,3
581,HK,,[],,,1991-03-21 00:00:00+00:00,3
581,HU,,[],,,1991-04-26 00:00:00+00:00,3
581,IL,,[],,,1991-03-22 00:00:00+00:00,3
581,JP,,[],,,1991-05-18 00:00:00+00:00,3
581,KR,15,[],,,1991-03-31 00:00:00+00:00,3
581,NL,16,[],,,1991-02-08 00:00:00+00:00,3
581,NL,,[],,Director's cut,1991-12-20 00:00:00+00:00,3
581,NO,,[],,,1991-04-10 00:00:00+00:00,3
581,PE,,[],,,1991-03-21 00:00:00+00:00,3
581,PH,,[],,,1991-06-25 00:00:00+00:00,3
581,PL,,[],,,1991-04-20 00:00:00+00:00,3
581,PT,M/12,[],,,1991-03-08 00:00:00+00:00,3
581,SE,,[],,Göteborg Film Festival,1991-01-30 00:00:00+00:00,1
581,SE,11,[],,,1991-02-15 00:00:00+00:00,3
581,TR,,[],,,1991-03-22 00:00:00+00:00,3
581,XC,,[],,,1991-06-06 00:00:00+00:00,3
1089,BR,16,[],,,1991-09-19 00:00:00+00:00,3
1089,CA,R,[],,,1991-07-12 00:00:00+00:00,5
1089,DE,16,[],,,1991-09-19 00:00:00+00:00,3
1089,FI,K-16,[],,,1991-08-30 00:00:00+00:00,3
1089,FR,12,[],,,1991-08-28 00:00:00+00:00,3
1089,GB,15,[],,,1991-11-22 00:00:00+00:00,3
1089,HU,16,[],,,1991-11-01 00:00:00+00:00,3
1089,IT,,[],it,,1991-11-15 00:00:00+00:00,3
1089,KR,18,[],,,1991-12-21 00:00:00+00:00,3
1089,MX,C,[],,,1991-07-12 00:00:00+00:00,5
1089,NL,16,[],,,1991-08-30 00:00:00+00:00,3
1089,PT,M/12,[],,,1991-10-11 00:00:00+00:00,3
1089,SE,15,[],,,1991-07-12 00:00:00+00:00,2
1089,US,,[],,"Westwood, California",1991-07-10 00:00:00+00:00,1
1089,US,R,[],,,1991-07-12 00:00:00+00:00,3
8222,ES,18,[],,,1991-10-23 00:00:00+00:00,3
8222,ES,18,[],,Barcelona,1991-10-25 00:00:00+00:00,3
8222,US,R,[],,,1991-12-20 00:00:00+00:00,3
149,DE,16,[],,,1991-05-09 00:00:00+00:00,3
149,FR,U,[],,,1991-05-07 00:00:00+00:00,1
149,GB,15,[],,,1991-01-24 00:00:00+00:00,3
149,KR,,[],,,1991-01-12 00:00:00+00:00,3
149,NZ,M,[],,,1991-07-11 00:00:00+00:00,3
16859,AU,G,[],,,1991-06-13 00:00:00+00:00,3
16859,GB,,[],,,1991-07-19 00:00:00+00:00,3
38405,JP,,[],,,1991-05-11 00:00:00+00:00,3
571,US,PG-13,[],en,Time Life Video #V636-07 [VHS]119 minutes,1991-01-01 00:00:00+00:00,5
81,ES,7,[],,VHS,1991-05-19 00:00:00+00:00,5
