tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
626872,BR,14,[],,Globoplay,2022-12-12T00:00:00.000Z,4
626872,BR,14,[],,VOD,2023-02-15T00:00:00.000Z,4
626872,BR,14,[],,Telecine,2022-12-12T00:00:00.000Z,6
626872,DE,16,[],,,2022-11-10T00:00:00.000Z,3
626872,DE,16,[],,,2023-03-23T00:00:00.000Z,5
626872,FR,,[],,Cannes Film Festival,2021-07-16T00:00:00.000Z,1
626872,FR,,[],,VOD,2022-11-30T00:00:00.000Z,4
626872,FR,,[],,DVD & Blu-Ray,2022-11-30T00:00:00.000Z,5
626872,HK,IIB,[],,,2022-08-04T00:00:00.000Z,3
626872,ID,,[],ko,,2022-08-16T00:00:00.000Z,3
626872,IT,,[],,Far East Film Festival,2023-04-28T00:00:00.000Z,1
626872,JP,,[],,,2023-01-06T00:00:00.000Z,3
626872,KR,12,[],,,2022-08-03T00:00:00.000Z,3
626872,RU,18+,[],ru,Централ Партнершип,2022-11-03T00:00:00.000Z,3
626872,SG,PG13,[],,,2022-08-04T00:00:00.000Z,3
626872,TH,น18+,[],th,,2022-08-04T00:00:00.000Z,3
626872,TW,12,[],,,2022-08-12T00:00:00.000Z,3
626872,US,,[],,,2022-08-12T00:00:00.000Z,2
736820,AE,,[],,Korean Film Festival,2023-06-10T00:00:00.000Z,1
736820,HK,,[],,,2022-09-08T00:00:00.000Z,3
736820,ID,,[],,,2022-09-30T00:00:00.000Z,3
736820,JP,,[],,,2023-09-22T00:00:00.000Z,3
736820,KR,15,[],,"Yongsan, Seoul",2022-08-30T00:00:00.000Z,1
736820,KR,15,[],,,2022-09-07T00:00:00.000Z,3
736820,RU,18+,[],,,2022-12-25T00:00:00.000Z,4
736820,SG,NC16,[],,,2022-09-15T00:00:00.000Z,3
774548,DE,16,[],,,2024-09-26T00:00:00.000Z,4
774548,DE,16,[],,,2024-09-26T00:00:00.000Z,5
774548,FR,12,[],,VOD,2023-08-11T00:00:00.000Z,4
774548,FR,,[],,DVD & Blu-Ray,2023-08-23T00:00:00.000Z,5
774548,HK,IIA,[],,,2022-12-01T00:00:00.000Z,3
774548,IN,,[],ko,,2023-03-10T00:00:00.000Z,3
774548,KR,12,[],ko,,2022-11-16T00:00:00.000Z,3
774548,SG,PG13,[],,,2022-12-01T00:00:00.000Z,3
774548,TW,,[],,,2022-11-25T00:00:00.000Z,3
774548,US,,[],,,2022-11-12T00:00:00.000Z,1
821153,ID,,[],,,2022-10-19T00:00:00.000Z,3
821153,JP,,[],,,2023-12-29T00:00:00.000Z,3
821153,KR,12,[],,,2022-08-24T00:00:00.000Z,3
821153,TW,0+,[],,,2022-09-30T00:00:00.000Z,3
615173,CH,18,[],,,2023-03-19T00:00:00.000Z,4
615173,DE,18,[],,Blu-ray-Mediabook,2023-01-20T00:00:00.000Z,5
615173,DE,18,[],,"Blu-ray, DVD",2023-01-27T00:00:00.000Z,5
615173,GB,18,[],,,2022-11-28T00:00:00.000Z,4
615173,JP,R15+,[],,,2023-05-26T00:00:00.000Z,4
615173,KR,15,[],,,2022-06-15T00:00:00.000Z,3
615173,MX,B-15,[],,,2024-11-14T00:00:00.000Z,3
615173,NL,18,[],,,2022-06-15T00:00:00.000Z,3
615173,PE,,[],,,2025-02-06T00:00:00.000Z,3
615173,US,,[],,,2022-11-08T00:00:00.000Z,4
736732,AT,,[],,,2023-03-17T00:00:00.000Z,3
736732,AU,,[],,Korean Film Festival,2022-09-17T00:00:00.000Z,1
736732,AU,M,[],,,2023-03-30T00:00:00.000Z,3
736732,BR,,[],,,2023-04-06T00:00:00.000Z,3
736732,CA,,[],,Toronto International Film Festival,2022-09-13T00:00:00.000Z,1
736732,CH,12,[],,,2022-09-23T00:00:00.000Z,4
736732,DE,12,[],,,2023-03-16T00:00:00.000Z,3
736732,DE,12,[],,,2023-07-20T00:00:00.000Z,4
736732,DE,12,[],,,2023-07-27T00:00:00.000Z,5
736732,ES,12,[],,,2022-12-21T00:00:00.000Z,3
736732,FI,K-7,[],,,2022-12-23T00:00:00.000Z,3
736732,FR,,[],,Cannes Film Festival,2022-05-26T00:00:00.000Z,1
736732,FR,TP,[],,,2022-12-07T00:00:00.000Z,3
