MovieId,Publisher_name,PublisherId
28087,	 Cygames Inc.,0
26872, ARTE FRANCE,1
22960, Beyond C. Co.  Ltd.,2
22961, Beyond C. Co.  Ltd.,2
23234, Broadway on Demand,3
26872, CANAL+,4
26872, CINE+,5
26384, Cie,6
20103, Co. KG,7
26751, Communications  Inc.,8
21031, Limited,9
19357, Media (Singapore),10
26872, ORANGE STUDIO,11
26140, PARTNERS,12
26741, PICTURES,13
26630, PICTURES,13
19000, Pictures Inc.,14
22113, PlusM.,15
23284, RELEASING LLC,16
23488, S.A.R.L.,17
24061, S.A.R.L.,17
23122, S.L.,18
29064, S.L.,18
25101, S.L.,18
29605, S.L.U.,19
22893, S.L.U.,19
21796, S.À R.L,20
29166, SASU,21
28977, SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,22
29471, STUDIOCANAL S.A.S. ,23
27054, SUNRISE INC.,24
29481, Studiocanal S.A.S,25
26873, TRUE COLOURS GLORIOUS FILMS,26
27522, TV HOUSE LIMITED,27
29188, TV House Limited,28
26778, Warner Bros. Pictures Japan,29
21780, pictures Inc.,30
27029, pictures Inc.,30
29237, pictures Inc.,30
27445, pictures Inc.,30
17129, pictures Inc.,30
21350, pictures Inc.,30
28099, pictures Inc. ,31
27966, pictures Inc. ,31
27379, pictures Inc. ,31
27648, pictures Inc. ,31
29502, 牽猴子股份有限公司,32
20822, 英皇(北京)影視文化傳媒有限公司,33
22182, 英皇娛樂(香港)有限公司 ,34
22182, 香港電影發展基金 ,35
